epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6804,1.08991,2.69422,1.14877,0.01345,0.55089,0.38061,0.33315,0.684,3.33456,0.89188,0.000272113,0.000272113,0.000272113
2,18.9796,0.62899,0.76128,0.88727,0.98188,0.60832,0.97427,0.8484,0.50597,1.60959,0.84684,0.000544337,0.000544337,0.000544337
3,27.1712,0.55364,0.6253,0.86452,0.98106,0.97823,0.99179,0.87791,0.44235,0.52904,0.83587,0.000811063,0.000811063,0.000811063
4,35.162,0.5173,0.55933,0.85213,0.98689,0.98037,0.99379,0.88159,0.46235,0.48313,0.83367,0.00080826,0.00080826,0.00080826
5,43.0599,0.49298,0.51825,0.8488,0.98516,0.98726,0.994,0.89249,0.40357,0.36054,0.81787,0.000800013,0.000800013,0.000800013
6,51.0763,0.45811,0.47443,0.8426,0.98884,0.98338,0.99383,0.908,0.38507,0.34543,0.81569,0.000791767,0.000791767,0.000791767
7,59.0159,0.45773,0.44595,0.83705,0.98532,0.9868,0.99331,0.91255,0.38898,0.3273,0.81106,0.00078352,0.00078352,0.00078352
8,66.9369,0.4214,0.41187,0.83226,0.98421,0.9869,0.99414,0.92514,0.35525,0.30338,0.80795,0.000775273,0.000775273,0.000775273
9,74.7836,0.42978,0.39966,0.82983,0.97303,0.98975,0.9937,0.92076,0.33682,0.30298,0.80655,0.000767026,0.000767026,0.000767026
10,82.7262,0.40128,0.3706,0.82305,0.98906,0.98372,0.99373,0.92137,0.35266,0.30033,0.80868,0.00075878,0.00075878,0.00075878
11,90.7491,0.40739,0.37111,0.82478,0.98346,0.98909,0.99397,0.93141,0.33296,0.28094,0.80579,0.000750533,0.000750533,0.000750533
12,98.642,0.38579,0.34898,0.82173,0.98629,0.98764,0.99402,0.93086,0.3371,0.26708,0.80579,0.000742286,0.000742286,0.000742286
13,106.476,0.39305,0.34344,0.82262,0.98667,0.98622,0.99384,0.92543,0.35162,0.28338,0.80652,0.00073404,0.00073404,0.00073404
14,114.424,0.38708,0.32796,0.82368,0.97974,0.99055,0.99364,0.92669,0.34059,0.27463,0.80694,0.000725793,0.000725793,0.000725793
15,122.225,0.37269,0.32218,0.8205,0.98656,0.9884,0.99444,0.92769,0.34629,0.26261,0.80698,0.000717546,0.000717546,0.000717546
16,130.139,0.37076,0.31266,0.81768,0.98571,0.98766,0.99404,0.94224,0.31811,0.26065,0.80075,0.000709299,0.000709299,0.000709299
17,138.038,0.37539,0.31321,0.81804,0.98904,0.98694,0.99437,0.93658,0.31062,0.25347,0.80048,0.000701053,0.000701053,0.000701053
18,145.86,0.35747,0.29882,0.8177,0.98999,0.98792,0.99439,0.94566,0.29994,0.2476,0.79808,0.000692806,0.000692806,0.000692806
19,153.913,0.35482,0.29814,0.81218,0.99143,0.98835,0.99403,0.94822,0.28782,0.23994,0.79676,0.000684559,0.000684559,0.000684559
20,161.718,0.35638,0.29446,0.81619,0.99255,0.98583,0.99441,0.93877,0.30339,0.24334,0.79819,0.000676313,0.000676313,0.000676313
21,169.676,0.34984,0.28742,0.81413,0.98526,0.98663,0.99214,0.94129,0.29694,0.25216,0.79894,0.000668066,0.000668066,0.000668066
22,177.587,0.33919,0.28018,0.81126,0.98746,0.98873,0.99451,0.94972,0.28571,0.22986,0.79447,0.000659819,0.000659819,0.000659819
23,185.289,0.33874,0.27648,0.81185,0.98832,0.98837,0.99465,0.95675,0.27819,0.22693,0.79471,0.000651573,0.000651573,0.000651573
24,193.437,0.33518,0.27287,0.81297,0.99079,0.98979,0.99469,0.95829,0.27226,0.21581,0.79302,0.000643326,0.000643326,0.000643326
25,201.333,0.33761,0.27123,0.81028,0.97859,0.99229,0.99358,0.95321,0.26943,0.22949,0.79314,0.000635079,0.000635079,0.000635079
26,209.217,0.33657,0.26818,0.81013,0.98994,0.98927,0.99419,0.94915,0.28446,0.2177,0.7944,0.000626832,0.000626832,0.000626832
27,217.208,0.33245,0.26226,0.81168,0.99215,0.9856,0.99452,0.95816,0.27235,0.21624,0.79231,0.000618586,0.000618586,0.000618586
28,225.017,0.32487,0.26018,0.80731,0.99013,0.98584,0.99431,0.95208,0.27655,0.21942,0.79295,0.000610339,0.000610339,0.000610339
29,232.834,0.32783,0.25629,0.81103,0.98082,0.99077,0.99424,0.95544,0.25995,0.21765,0.79227,0.000602092,0.000602092,0.000602092
30,240.639,0.31944,0.25638,0.80785,0.99276,0.9902,0.99457,0.95753,0.27236,0.21116,0.79232,0.000593846,0.000593846,0.000593846
31,248.544,0.31921,0.25644,0.80909,0.99037,0.98781,0.99458,0.95746,0.26894,0.21535,0.79306,0.000585599,0.000585599,0.000585599
32,256.489,0.32327,0.25671,0.80871,0.98378,0.98665,0.99133,0.95547,0.27119,0.21388,0.79393,0.000577352,0.000577352,0.000577352
33,264.147,0.31628,0.25132,0.80588,0.99216,0.98352,0.99444,0.95621,0.27123,0.21015,0.79313,0.000569106,0.000569106,0.000569106
34,272.038,0.31321,0.2496,0.80784,0.99371,0.9878,0.99442,0.95742,0.26395,0.2058,0.79067,0.000560859,0.000560859,0.000560859
35,279.755,0.32385,0.25323,0.81012,0.98968,0.98663,0.99446,0.95785,0.26858,0.21331,0.79086,0.000552612,0.000552612,0.000552612
36,287.5,0.31279,0.24609,0.80541,0.98291,0.98779,0.99037,0.95164,0.27382,0.21609,0.79435,0.000544365,0.000544365,0.000544365
37,295.488,0.30928,0.24198,0.80668,0.98874,0.9909,0.99414,0.95892,0.26183,0.20057,0.79161,0.000536119,0.000536119,0.000536119
38,303.243,0.30771,0.23981,0.80561,0.98653,0.99045,0.99451,0.96442,0.25338,0.19778,0.78948,0.000527872,0.000527872,0.000527872
39,311.184,0.30398,0.2387,0.80632,0.98704,0.98869,0.99451,0.96079,0.25996,0.20098,0.79046,0.000519625,0.000519625,0.000519625
40,318.963,0.30534,0.2365,0.80553,0.99566,0.99026,0.99384,0.96447,0.2594,0.19784,0.7892,0.000511379,0.000511379,0.000511379
41,326.735,0.30272,0.2349,0.80483,0.98102,0.99255,0.99451,0.95392,0.27107,0.20469,0.79136,0.000503132,0.000503132,0.000503132
42,334.692,0.29703,0.23383,0.8013,0.98885,0.98945,0.99447,0.96284,0.24959,0.19672,0.78936,0.000494885,0.000494885,0.000494885
43,342.437,0.29752,0.231,0.80358,0.98656,0.99179,0.99467,0.96156,0.26275,0.19319,0.79217,0.000486639,0.000486639,0.000486639
44,350.353,0.29116,0.22559,0.80215,0.99262,0.99245,0.99475,0.96633,0.23731,0.18414,0.78585,0.000478392,0.000478392,0.000478392
45,358.094,0.29291,0.22714,0.80106,0.99105,0.99217,0.99463,0.96364,0.24246,0.18569,0.78753,0.000470145,0.000470145,0.000470145
46,365.953,0.29381,0.22588,0.80305,0.98855,0.99209,0.99457,0.9666,0.2383,0.18692,0.78636,0.000461898,0.000461898,0.000461898
47,374.104,0.29224,0.22443,0.79966,0.99426,0.98659,0.99442,0.96818,0.23501,0.18091,0.78544,0.000453652,0.000453652,0.000453652
48,381.993,0.28904,0.22354,0.79963,0.99202,0.99325,0.99472,0.96621,0.2408,0.18416,0.7869,0.000445405,0.000445405,0.000445405
49,389.947,0.28847,0.22111,0.80197,0.99038,0.99062,0.99419,0.96747,0.2347,0.17787,0.78517,0.000437158,0.000437158,0.000437158
50,397.976,0.28524,0.21965,0.79864,0.99209,0.98954,0.99456,0.96579,0.24703,0.18381,0.78885,0.000428912,0.000428912,0.000428912
51,405.887,0.29145,0.22135,0.80012,0.99244,0.99309,0.99423,0.96173,0.2513,0.18426,0.78774,0.000420665,0.000420665,0.000420665
52,413.681,0.28,0.21396,0.80205,0.9904,0.99578,0.99476,0.96854,0.23009,0.17182,0.78528,0.000412418,0.000412418,0.000412418
53,421.463,0.27862,0.21239,0.79905,0.99284,0.98877,0.99471,0.96774,0.23179,0.17814,0.78481,0.000404172,0.000404172,0.000404172
54,429.373,0.27802,0.21315,0.80038,0.98853,0.99314,0.99468,0.96768,0.23456,0.17659,0.78475,0.000395925,0.000395925,0.000395925
55,437.418,0.28252,0.2149,0.79927,0.99314,0.9914,0.99457,0.9583,0.26238,0.18557,0.7885,0.000387678,0.000387678,0.000387678
56,445.143,0.28406,0.2145,0.79882,0.99187,0.99283,0.99474,0.9711,0.22447,0.16972,0.78394,0.000379431,0.000379431,0.000379431
57,453.111,0.27522,0.21173,0.79857,0.99116,0.99446,0.99454,0.9693,0.23136,0.17424,0.78519,0.000371185,0.000371185,0.000371185
58,461.083,0.27558,0.21097,0.79818,0.99427,0.99084,0.99485,0.96813,0.232,0.17126,0.7854,0.000362938,0.000362938,0.000362938
59,468.944,0.27813,0.21163,0.80031,0.99016,0.99203,0.99472,0.96927,0.23964,0.18524,0.78581,0.000354691,0.000354691,0.000354691
60,476.887,0.27107,0.20728,0.79827,0.99429,0.99206,0.99479,0.96806,0.23221,0.16937,0.78522,0.000346445,0.000346445,0.000346445
61,484.761,0.26706,0.20678,0.79536,0.99321,0.99288,0.99483,0.96927,0.22591,0.1681,0.7848,0.000338198,0.000338198,0.000338198
62,492.769,0.26929,0.20621,0.79963,0.99495,0.99096,0.99432,0.97006,0.22722,0.17252,0.78474,0.000329951,0.000329951,0.000329951
63,500.663,0.26735,0.20329,0.7971,0.99501,0.99053,0.99459,0.96889,0.22115,0.16566,0.78301,0.000321705,0.000321705,0.000321705
64,508.418,0.26247,0.20101,0.796,0.99334,0.99224,0.9946,0.96979,0.21935,0.16597,0.78389,0.000313458,0.000313458,0.000313458
65,516.277,0.26174,0.20049,0.79598,0.99517,0.99308,0.99482,0.96881,0.21781,0.16105,0.78334,0.000305211,0.000305211,0.000305211
66,524.095,0.26549,0.19998,0.79763,0.99153,0.99014,0.9948,0.96968,0.21807,0.16186,0.7829,0.000296964,0.000296964,0.000296964
67,531.964,0.26263,0.19901,0.79646,0.99609,0.99076,0.99439,0.96829,0.21906,0.16401,0.78357,0.000288718,0.000288718,0.000288718
68,539.955,0.27005,0.20251,0.7983,0.99541,0.9895,0.99441,0.96823,0.22012,0.1625,0.78317,0.000280471,0.000280471,0.000280471
69,547.744,0.25843,0.19727,0.79861,0.99237,0.99523,0.99475,0.97199,0.21802,0.16042,0.78272,0.000272224,0.000272224,0.000272224
70,555.564,0.25545,0.19419,0.79521,0.99317,0.99273,0.99485,0.97197,0.21728,0.15949,0.78263,0.000263978,0.000263978,0.000263978
71,563.354,0.2583,0.19415,0.79808,0.99474,0.99277,0.99455,0.97176,0.21679,0.16162,0.78149,0.000255731,0.000255731,0.000255731
72,571.22,0.25539,0.19278,0.79653,0.99364,0.99236,0.99478,0.97138,0.21622,0.16055,0.78222,0.000247484,0.000247484,0.000247484
73,579.213,0.25758,0.19459,0.79669,0.99392,0.99359,0.99482,0.97116,0.21753,0.15681,0.78216,0.000239238,0.000239238,0.000239238
74,587.006,0.25502,0.19354,0.79544,0.99168,0.99188,0.99478,0.97267,0.2177,0.16021,0.78213,0.000230991,0.000230991,0.000230991
75,594.882,0.24901,0.1894,0.7943,0.98678,0.99538,0.99461,0.97178,0.20855,0.1595,0.78119,0.000222744,0.000222744,0.000222744
76,602.801,0.24704,0.18584,0.79556,0.99233,0.99343,0.99465,0.97186,0.21292,0.15687,0.78191,0.000214497,0.000214497,0.000214497
77,610.665,0.25182,0.18922,0.79617,0.99391,0.99502,0.99474,0.97252,0.21034,0.15502,0.78138,0.000206251,0.000206251,0.000206251
78,618.64,0.24546,0.18667,0.79356,0.99261,0.99221,0.99483,0.97098,0.20914,0.15482,0.78182,0.000198004,0.000198004,0.000198004
79,626.442,0.24204,0.18292,0.79277,0.99252,0.99493,0.99483,0.97308,0.20767,0.15498,0.78098,0.000189757,0.000189757,0.000189757
80,634.406,0.24352,0.18465,0.7956,0.99341,0.99479,0.99476,0.97422,0.20699,0.15258,0.78123,0.000181511,0.000181511,0.000181511
81,642.473,0.24295,0.18434,0.79581,0.99233,0.99346,0.99469,0.97281,0.20447,0.15363,0.78108,0.000173264,0.000173264,0.000173264
82,650.311,0.23829,0.18096,0.79472,0.99378,0.99396,0.99486,0.97254,0.20523,0.1495,0.78093,0.000165017,0.000165017,0.000165017
83,658.334,0.24508,0.18113,0.79541,0.99374,0.9936,0.99473,0.9738,0.20063,0.15083,0.78048,0.000156771,0.000156771,0.000156771
84,666.032,0.2412,0.18066,0.79289,0.99371,0.9928,0.99465,0.97404,0.20357,0.15188,0.78064,0.000148524,0.000148524,0.000148524
85,673.919,0.23698,0.17861,0.79288,0.99495,0.99375,0.99484,0.97527,0.20058,0.14831,0.78022,0.000140277,0.000140277,0.000140277
86,681.938,0.23947,0.17952,0.79345,0.99237,0.99568,0.99468,0.97409,0.20013,0.14732,0.78032,0.000132031,0.000132031,0.000132031
87,689.74,0.22969,0.1741,0.79301,0.99346,0.99208,0.99477,0.97358,0.19823,0.14719,0.78021,0.000123784,0.000123784,0.000123784
88,697.797,0.23592,0.17597,0.79427,0.99386,0.99277,0.99473,0.97464,0.19781,0.14527,0.78006,0.000115537,0.000115537,0.000115537
89,705.595,0.23171,0.17401,0.79207,0.99404,0.99412,0.99478,0.97513,0.19734,0.14571,0.78008,0.00010729,0.00010729,0.00010729
90,713.332,0.23214,0.17454,0.79437,0.99486,0.99357,0.99472,0.97432,0.19638,0.14386,0.77974,9.90437e-05,9.90437e-05,9.90437e-05
91,723.727,0.2398,0.17429,0.78849,0.99509,0.99323,0.99455,0.97032,0.21131,0.15179,0.78137,9.0797e-05,9.0797e-05,9.0797e-05
92,731.393,0.2206,0.15996,0.78568,0.99391,0.99464,0.99477,0.97206,0.20563,0.14847,0.78107,8.25503e-05,8.25503e-05,8.25503e-05
93,739.186,0.22064,0.15944,0.78598,0.99477,0.99381,0.99475,0.97083,0.20774,0.14836,0.78132,7.43036e-05,7.43036e-05,7.43036e-05
94,746.922,0.21488,0.15739,0.78889,0.99508,0.99357,0.99483,0.97332,0.20276,0.14611,0.78061,6.60569e-05,6.60569e-05,6.60569e-05
95,754.437,0.21104,0.15551,0.78342,0.99326,0.99491,0.99466,0.97363,0.20135,0.146,0.78018,5.78102e-05,5.78102e-05,5.78102e-05
96,762.185,0.2052,0.15349,0.78587,0.99387,0.99579,0.9948,0.97381,0.20012,0.14418,0.78001,4.95635e-05,4.95635e-05,4.95635e-05
97,769.757,0.20723,0.15252,0.7846,0.99476,0.99454,0.99488,0.97416,0.2009,0.14324,0.78066,4.13168e-05,4.13168e-05,4.13168e-05
98,777.518,0.2027,0.1495,0.78127,0.99473,0.99428,0.99489,0.97371,0.19925,0.13939,0.77987,3.30701e-05,3.30701e-05,3.30701e-05
99,785.267,0.20207,0.14907,0.78475,0.99422,0.994,0.99489,0.97452,0.19644,0.13912,0.77979,2.48234e-05,2.48234e-05,2.48234e-05
100,792.698,0.20038,0.14771,0.78104,0.99516,0.9944,0.99488,0.97428,0.19657,0.13898,0.77972,1.65767e-05,1.65767e-05,1.65767e-05
